Filename,Step,Prompt,Model,Width,Height,arniqa,clipiqa,cnniqa,metaiqa
image_512x512_step1_prompt1.png,1,"A sunset over a futuristic city with flying cars, in 8k resolution",stable-diffusion-v1-4,512,512,0.5421971678733826,0.320528119802475,0.4460004568099975,0.6563827395439148
image_512x512_step1_prompt2.png,1,"A peaceful forest with a small waterfall and vibrant wildlife, photorealistic",stable-diffusion-v1-4,512,512,0.5096672773361206,0.3394953310489654,0.4281582534313202,0.6658617854118347
image_512x512_step1_prompt3.png,1,"A cyberpunk city street with neon lights and rain-soaked pavement, 8k",stable-diffusion-v1-4,512,512,0.4919241666793823,0.3481955528259277,0.40788334608078,0.6721716523170471
image_512x512_step1_prompt4.png,1,An astronaut floating in deep space with the Earth visible in the background,stable-diffusion-v1-4,512,512,0.51690673828125,0.3237680792808532,0.474443256855011,0.659774124622345
image_512x512_step1_prompt5.png,1,"A majestic dragon soaring above snowy mountains, high detail",stable-diffusion-v1-4,512,512,0.5203096270561218,0.3387866914272308,0.4324592351913452,0.6660515069961548
image_512x512_step1_prompt6.png,1,"A serene lakeside cabin in the woods at sunrise, photorealistic",stable-diffusion-v1-4,512,512,0.5004622340202332,0.3518448173999786,0.4219658374786377,0.6616929173469543
image_512x512_step1_prompt7.png,1,A bustling medieval marketplace filled with merchants and townsfolk,stable-diffusion-v1-4,512,512,0.4752508997917175,0.3544350266456604,0.4286418259143829,0.6539579033851624
image_512x512_step1_prompt8.png,1,A steampunk-inspired airship flying through a cloudy sky,stable-diffusion-v1-4,512,512,0.4798451364040375,0.3515346646308899,0.4228647351264953,0.6708953976631165
image_512x512_step1_prompt9.png,1,A mystical underwater city with glowing plants and sea creatures,stable-diffusion-v1-4,512,512,0.5196101665496826,0.2959853708744049,0.4302898347377777,0.6629180312156677
image_512x512_step1_prompt10.png,1,"A beautiful fairy sitting on a mushroom in a magical forest, ultra detailed",stable-diffusion-v1-4,512,512,0.5094586610794067,0.3463720679283142,0.4193144738674164,0.6454247832298279
image_512x512_step1_prompt11.png,1,A futuristic robotic soldier in a post-apocalyptic wasteland,stable-diffusion-v1-4,512,512,0.4896802902221679,0.3134635090827942,0.4246571660041809,0.6448439359664917
image_512x512_step1_prompt12.png,1,"An ancient temple hidden in a dense jungle, mysterious and atmospheric",stable-diffusion-v1-4,512,512,0.5388981699943542,0.355787992477417,0.4531601667404175,0.6575559973716736
image_512x512_step1_prompt13.png,1,A vibrant carnival scene at night with colorful lights and rides,stable-diffusion-v1-4,512,512,0.4532429575920105,0.3283994793891907,0.4140226244926452,0.667229950428009
image_512x512_step1_prompt14.png,1,A vast desert landscape with towering sand dunes and a lone traveler,stable-diffusion-v1-4,512,512,0.4945738911628723,0.3510406017303467,0.4351521134376526,0.658746600151062
image_512x512_step1_prompt15.png,1,"A bustling futuristic cityscape with skyscrapers and flying vehicles, in 8k",stable-diffusion-v1-4,512,512,0.5017328858375549,0.3462039530277252,0.4367319941520691,0.6835213303565979
