Filename,Step,Prompt,Model,Width,Height,arniqa,clipiqa,cnniqa,metaiqa
image_512x512_step1_prompt1.png,1,"A sunset over a futuristic city with flying cars, in 8k resolution",stable-diffusion-xl-base-1.0,512,512,0.487067699432373,0.3592796921730041,0.6122674942016602,0.7352696657180786
image_512x512_step1_prompt2.png,1,"A peaceful forest with a small waterfall and vibrant wildlife, photorealistic",stable-diffusion-xl-base-1.0,512,512,0.538853645324707,0.344142735004425,0.6124261617660522,0.7366068959236145
image_512x512_step1_prompt3.png,1,"A cyberpunk city street with neon lights and rain-soaked pavement, 8k",stable-diffusion-xl-base-1.0,512,512,0.5102199912071228,0.352733701467514,0.6218340992927551,0.7292694449424744
image_512x512_step1_prompt4.png,1,An astronaut floating in deep space with the Earth visible in the background,stable-diffusion-xl-base-1.0,512,512,0.5398935079574585,0.3680001199245453,0.6512480974197388,0.7226698398590088
image_512x512_step1_prompt5.png,1,"A majestic dragon soaring above snowy mountains, high detail",stable-diffusion-xl-base-1.0,512,512,0.5120928883552551,0.383474051952362,0.5956327319145203,0.7373348474502563
image_512x512_step1_prompt6.png,1,"A serene lakeside cabin in the woods at sunrise, photorealistic",stable-diffusion-xl-base-1.0,512,512,0.5024533271789551,0.3720570206642151,0.5655484795570374,0.735981285572052
image_512x512_step1_prompt7.png,1,A bustling medieval marketplace filled with merchants and townsfolk,stable-diffusion-xl-base-1.0,512,512,0.5250594615936279,0.3685615658760071,0.6314183473587036,0.7305168509483337
image_512x512_step1_prompt8.png,1,A steampunk-inspired airship flying through a cloudy sky,stable-diffusion-xl-base-1.0,512,512,0.5136473178863525,0.346691220998764,0.6015572547912598,0.7231627106666565
image_512x512_step1_prompt9.png,1,A mystical underwater city with glowing plants and sea creatures,stable-diffusion-xl-base-1.0,512,512,0.543458878993988,0.3801395297050476,0.6340025067329407,0.7346799969673157
image_512x512_step1_prompt10.png,1,"A beautiful fairy sitting on a mushroom in a magical forest, ultra detailed",stable-diffusion-xl-base-1.0,512,512,0.5415053963661194,0.3737772107124328,0.6292363405227661,0.7311444282531738
image_512x512_step1_prompt11.png,1,A futuristic robotic soldier in a post-apocalyptic wasteland,stable-diffusion-xl-base-1.0,512,512,0.5189135074615479,0.3657929897308349,0.6686242818832397,0.7438762784004211
image_512x512_step1_prompt12.png,1,"An ancient temple hidden in a dense jungle, mysterious and atmospheric",stable-diffusion-xl-base-1.0,512,512,0.5121229887008667,0.3440187871456146,0.6313199996948242,0.7464740872383118
image_512x512_step1_prompt13.png,1,A vibrant carnival scene at night with colorful lights and rides,stable-diffusion-xl-base-1.0,512,512,0.5113650560379028,0.3849523663520813,0.5941181182861328,0.7306192517280579
image_512x512_step1_prompt14.png,1,A vast desert landscape with towering sand dunes and a lone traveler,stable-diffusion-xl-base-1.0,512,512,0.492129921913147,0.3814155459403991,0.6390349268913269,0.7467026114463806
image_512x512_step1_prompt15.png,1,"A bustling futuristic cityscape with skyscrapers and flying vehicles, in 8k",stable-diffusion-xl-base-1.0,512,512,0.5649694800376892,0.3696438670158386,0.5803744196891785,0.7381746172904968
image_512x512_step1_prompt16.png,1,"A tranquil Zen garden with stone paths, cherry blossoms, and a pond",stable-diffusion-xl-base-1.0,512,512,0.5179408192634583,0.3762072622776031,0.6171658039093018,0.7387427687644958
image_512x512_step1_prompt17.png,1,A magical winter wonderland with snow-covered trees and glowing lights,stable-diffusion-xl-base-1.0,512,512,0.5263809561729431,0.3410301804542541,0.6189404129981995,0.7242149710655212
image_512x512_step1_prompt18.png,1,A futuristic spaceship interior with advanced technology and glowing screens,stable-diffusion-xl-base-1.0,512,512,0.5427864789962769,0.3762863874435425,0.6326736211776733,0.735760509967804
image_512x512_step1_prompt19.png,1,A vibrant alien planet with strange plants and two suns in the sky,stable-diffusion-xl-base-1.0,512,512,0.5191026329994202,0.3458175957202911,0.6222746968269348,0.7147541046142578
image_512x512_step1_prompt20.png,1,A rustic old library filled with ancient books and a cozy fireplace,stable-diffusion-xl-base-1.0,512,512,0.5260767936706543,0.3850351870059967,0.6650005578994751,0.7187077403068542
image_512x512_step1_prompt21.png,1,"A golden palace floating in the clouds with waterfalls cascading down, highly detailed",stable-diffusion-xl-base-1.0,512,512,0.5324939489364624,0.363277405500412,0.6308640241622925,0.733315110206604
image_512x512_step1_prompt22.png,1,"An ancient wizard casting a spell in a dark, mystical cave, glowing effects",stable-diffusion-xl-base-1.0,512,512,0.5574215054512024,0.3852485716342926,0.5745473504066467,0.7248786687850952
image_512x512_step1_prompt23.png,1,A dystopian cityscape with abandoned skyscrapers and overgrown vegetation,stable-diffusion-xl-base-1.0,512,512,0.5282299518585205,0.3578368723392486,0.6370030641555786,0.7376436591148376
image_512x512_step1_prompt24.png,1,"A vibrant coral reef teeming with colorful fish and glowing sea life, photorealistic",stable-diffusion-xl-base-1.0,512,512,0.5105287432670593,0.3594661355018616,0.5982776880264282,0.7420083284378052
image_512x512_step1_prompt25.png,1,"A lone samurai standing on a hill under a blood-red sunset, atmospheric",stable-diffusion-xl-base-1.0,512,512,0.4938957095146179,0.3740053474903106,0.6194781064987183,0.7219407558441162
image_512x512_step1_prompt26.png,1,"A cozy treehouse hidden deep in a lush, green forest, detailed and warm",stable-diffusion-xl-base-1.0,512,512,0.5153771042823792,0.3802909851074219,0.6216108202934265,0.7439680695533752
image_512x512_step1_prompt27.png,1,A futuristic hover train speeding through a neon-lit urban landscape,stable-diffusion-xl-base-1.0,512,512,0.5303015112876892,0.3629065155982971,0.6258940100669861,0.7365087866783142
image_512x512_step1_prompt28.png,1,"A knight in shining armor standing in a moonlit forest, magical atmosphere",stable-diffusion-xl-base-1.0,512,512,0.5097587704658508,0.3359010815620422,0.6343753337860107,0.7250673770904541
image_512x512_step1_prompt29.png,1,"A massive spaceship hovering over a futuristic alien city, in 8k resolution",stable-diffusion-xl-base-1.0,512,512,0.5162051320075989,0.3251864314079284,0.6054733991622925,0.7318515777587891
image_512x512_step1_prompt30.png,1,A hidden elven village surrounded by giant trees and glowing lanterns,stable-diffusion-xl-base-1.0,512,512,0.5153934955596924,0.3584811687469482,0.6179379224777222,0.7257838249206543
image_512x512_step1_prompt31.png,1,A Viking longship sailing through icy waters with snow-capped mountains in the background,stable-diffusion-xl-base-1.0,512,512,0.4855291843414306,0.3713324964046478,0.6323796510696411,0.7411460876464844
image_512x512_step1_prompt32.png,1,A magical desert night with a star-filled sky and ancient ruins partially buried in sand,stable-diffusion-xl-base-1.0,512,512,0.5084055066108704,0.3824456632137298,0.6279774904251099,0.7560372948646545
image_512x512_step1_prompt33.png,1,"A time traveler standing in front of a glowing portal, surrounded by gears and energy",stable-diffusion-xl-base-1.0,512,512,0.5089093446731567,0.3780330717563629,0.6063739061355591,0.7661659121513367
image_512x512_step1_prompt34.png,1,"An enchanted book emitting light as it hovers above an ancient altar, mystical",stable-diffusion-xl-base-1.0,512,512,0.519473135471344,0.3638868927955627,0.6245015859603882,0.7234512567520142
image_512x512_step1_prompt35.png,1,"A futuristic battle scene with robotic warriors and flying drones, cinematic style",stable-diffusion-xl-base-1.0,512,512,0.5150617361068726,0.3993141055107116,0.6225025653839111,0.7247483134269714
image_512x512_step1_prompt36.png,1,"A pirate ship battling a sea monster under stormy skies, epic and dramatic",stable-diffusion-xl-base-1.0,512,512,0.4806854426860809,0.3956095278263092,0.622739315032959,0.7508208155632019
image_512x512_step1_prompt37.png,1,A snowy village illuminated by lanterns during a festive winter night,stable-diffusion-xl-base-1.0,512,512,0.5221636295318604,0.3473970293998718,0.6505712866783142,0.7397995591163635
image_512x512_step1_prompt38.png,1,An ancient desert temple with towering statues and mysterious carvings,stable-diffusion-xl-base-1.0,512,512,0.50240159034729,0.3957337737083435,0.6304638385772705,0.7224711775779724
image_512x512_step1_prompt39.png,1,"A beautiful elf archer in a moonlit forest aiming her glowing bow, ultra-detailed",stable-diffusion-xl-base-1.0,512,512,0.5244814157485962,0.3850067257881164,0.5551823377609253,0.7195759415626526
image_512x512_step1_prompt40.png,1,A dark sorcerer summoning a dragon in a ruined castle under a stormy sky,stable-diffusion-xl-base-1.0,512,512,0.490932434797287,0.3860514760017395,0.6513481736183167,0.7428818345069885
